Epoch,Dropout 0.0,Dropout 0.2,Dropout 0.4,Dropout 0.6,Dropout 0.8
1,3.31,3.32,3.34,3.38,3.47
2,2.8,2.84,2.91,2.99,3.2
3,2.58,2.64,2.72,2.83,3.1
4,2.46,2.53,2.61,2.74,3.04
5,2.36,2.45,2.54,2.68,3.0
6,2.27,2.39,2.49,2.65,2.97
7,2.17,2.33,2.45,2.61,2.95
8,1.94,2.15,2.41,2.59,2.92
9,1.89,2.13,2.38,2.56,2.85
10,1.81,2.07,2.35,2.55,2.83
11,1.79,2.07,2.23,2.53,2.82
12,1.78,2.05,2.22,2.51,2.81
13,1.78,2.05,2.21,2.51,2.8
14,1.78,2.05,2.2,2.49,2.79
15,1.78,2.05,2.16,2.42,2.78
16,1.78,2.05,2.16,2.4,2.78
17,1.78,2.05,2.16,2.39,2.76
18,1.78,2.04,2.15,2.39,2.76
19,1.78,2.05,2.15,2.37,2.75
20,1.78,2.05,2.14,2.36,2.74
21,1.78,2.05,2.14,2.36,2.74
22,1.78,2.04,2.14,2.36,2.74
23,1.78,2.05,2.14,2.36,2.72
24,1.78,2.04,2.15,2.35,2.71
25,1.78,2.05,2.14,2.35,2.71
